Station,To,Departure,Arrival,Type,ID
Ht,Ehv,12:08,12:27,Int,1
Ht,Ehv,12:24,12:43,Int,2
Ht,Ehv,12:38,12:57,Int,3
Ht,Ehv,12:54,13:13,Int,4
Ht,Ehv,13:08,13:27,Int,5
Ht,Ehv,13:24,13:43,Int,6
Ht,Ehv,13:38,13:57,Int,7
Ht,Ehv,13:54,14:13,Int,8
Ht,Ehv,14:08,14:27,Int,9
Ht,Ehv,14:24,14:43,Int,10
Ht,Ehv,14:38,14:57,Int,11
Ehv,Ht,12:02,12:21,Int,13
Ehv,Ht,12:17,12:36,Int,14
Ehv,Ht,12:32,12:51,Int,15
Ehv,Ht,12:47,13:06,Int,16
Ehv,Ht,13:02,13:21,Int,17
Ehv,Ht,13:17,13:36,Int,18
Ehv,Ht,13:32,13:51,Int,19
Ehv,Ht,13:47,14:06,Int,20
Ehv,Ht,14:02,14:21,Int,21
Ehv,Ht,14:17,14:36,Int,22
Ehv,Ht,14:32,14:51,Int,23
Ht,Tb,12:03,12:17,Spr,25
Ht,Tb,12:11,12:26,Spr,26
Ht,Tb,12:33,12:47,Spr,27
Ht,Tb,12:41,12:56,Spr,28
Ht,Tb,13:03,13:17,Spr,29
Ht,Tb,13:11,13:26,Spr,30
Ht,Tb,13:33,13:47,Spr,31
Ht,Tb,13:41,13:56,Spr,32
Ht,Tb,14:03,14:17,Spr,33
Ht,Tb,14:11,14:26,Spr,34
Ht,Tb,14:33,14:47,Spr,35
Ht,Tb,14:41,14:56,Spr,36
Tb,Ht,12:03,12:18,Spr,37
Tb,Ht,12:13,12:28,Spr,38
Tb,Ht,12:33,12:48,Spr,39
Tb,Ht,12:43,12:58,Spr,40
Tb,Ht,13:03,13:18,Spr,41
Tb,Ht,13:13,13:28,Spr,42
Tb,Ht,13:33,13:48,Spr,43
Tb,Ht,13:43,13:58,Spr,44
Tb,Ht,14:03,14:18,Spr,45
Tb,Ht,14:13,14:28,Spr,46
Tb,Ht,14:33,14:48,Spr,47
Tb,Ht,14:43,14:58,Spr,48
Ehv,Tb,12:14,12:35,Int,49
Ehv,Tb,12:43,13:05,Int,50
Ehv,Tb,13:14,13:35,Int,51
Ehv,Tb,13:43,14:05,Int,52
Ehv,Tb,14:14,14:35,Int,53
Tb,Ehv,12:24,12:47,Int,55
Tb,Ehv,12:54,13:18,Int,56
Tb,Ehv,13:24,13:47,Int,57
Tb,Ehv,13:54,14:18,Int,58
Tb,Ehv,14:24,14:47,Int,59
Ht,Vg,12:28,12:32,Spr,61
Vg,Btl,12:32,12:38,Spr,61
Btl,Bet,12:38,12:45,Spr,61
Bet,Ehs,12:45,12:51,Spr,61
Ehs,Ehv,12:51,12:54,Spr,61
Ht,Vg,13:00,13:04,Spr,62
Vg,Btl,13:04,13:10,Spr,62
Btl,Bet,13:10,13:17,Spr,62
Bet,Ehs,13:17,13:23,Spr,62
Ehs,Ehv,13:23,13:26,Spr,62
Ht,Vg,13:28,13:32,Spr,63
Vg,Btl,13:32,13:38,Spr,63
Btl,Bet,13:38,13:45,Spr,63
Bet,Ehs,13:45,13:51,Spr,63
Ehs,Ehv,13:51,13:54,Spr,63
Ht,Vg,13:58,14:02,Spr,64
Vg,Btl,14:02,14:08,Spr,64
Btl,Bet,14:08,14:15,Spr,64
Bet,Ehs,14:15,14:21,Spr,64
Ehs,Ehv,14:21,14:24,Spr,64
Ht,Vg,14:28,14:32,Spr,65
Vg,Btl,14:32,14:38,Spr,65
Btl,Bet,14:38,14:45,Spr,65
Bet,Ehs,14:45,14:51,Spr,65
Ehs,Ehv,14:51,14:54,Spr,65
Btl,Bet,12:22,12:28,Spr,66
Bet,Ehs,12:28,12:34,Spr,66
Ehs,Ehv,12:34,12:38,Spr,66
Ot,Btl,12:14,12:22,Spr,66
Tb,Ot,12:08,12:14,Spr,66
Btl,Bet,12:52,12:58,Spr,67
Bet,Ehs,12:58,13:04,Spr,67
Ehs,Ehv,13:04,13:08,Spr,67
Ot,Btl,12:44,12:52,Spr,67
Tb,Ot,12:38,12:44,Spr,67
Btl,Bet,13:22,13:28,Spr,68
Bet,Ehs,13:28,13:34,Spr,68
Ehs,Ehv,13:34,13:38,Spr,68
Ot,Btl,13:14,13:22,Spr,68
Tb,Ot,13:08,13:14,Spr,68
Btl,Bet,13:52,13:58,Spr,69
Bet,Ehs,13:58,14:04,Spr,69
Ehs,Ehv,14:04,14:08,Spr,69
Ot,Btl,13:44,13:52,Spr,69
Tb,Ot,13:38,13:44,Spr,69
Btl,Bet,14:22,14:28,Spr,70
Bet,Ehs,14:28,14:34,Spr,70
Ehs,Ehv,14:34,14:38,Spr,70
Ot,Btl,14:14,14:22,Spr,70
Tb,Ot,14:08,14:14,Spr,70
Btl,Bet,14:52,14:58,Spr,71
Ot,Btl,14:44,14:52,Spr,71
Tb,Ot,14:38,14:44,Spr,71
Vg,Ht,12:28,12:32,Spr,72
Btl,Vg,12:22,12:28,Spr,72
Bet,Btl,12:15,12:22,Spr,72
Ehs,Bet,12:09,12:15,Spr,72
Ehv,Ehs,12:06,12:09,Spr,72
Vg,Ht,12:59,13:03,Spr,73
Btl,Vg,12:53,12:59,Spr,73
Bet,Btl,12:45,12:51,Spr,73
Ehs,Bet,12:39,12:45,Spr,73
Ehv,Ehs,12:35,12:39,Spr,73
Vg,Ht,13:28,13:32,Spr,74
Btl,Vg,13:22,13:28,Spr,74
Bet,Btl,13:15,13:22,Spr,74
Ehs,Bet,13:09,13:15,Spr,74
Ehv,Ehs,13:06,13:09,Spr,74
Vg,Ht,13:58,14:02,Spr,75
Btl,Vg,13:52,13:58,Spr,75
Bet,Btl,13:45,13:52,Spr,75
Ehs,Bet,13:39,13:45,Spr,75
Ehv,Ehs,13:36,13:39,Spr,75
Vg,Ht,14:28,14:32,Spr,76
Btl,Vg,14:22,14:28,Spr,76
Bet,Btl,14:15,14:22,Spr,76
Ehs,Bet,14:09,14:15,Spr,76
Ehv,Ehs,14:06,14:09,Spr,76
Btl,Vg,14:53,14:59,Spr,77
Bet,Btl,14:45,14:51,Spr,77
Ehs,Bet,14:39,14:45,Spr,77
Ehv,Ehs,14:36,14:39,Spr,77
Bet,Btl,12:30,12:37,Spr,78
Ehs,Bet,12:24,12:30,Spr,78
Ehv,Ehs,12:21,12:24,Spr,78
Btl,Ot,12:37,12:44,Spr,78
Ot,Tb,12:44,12:50,Spr,78
Bet,Btl,13:00,13:07,Spr,79
Ehs,Bet,12:54,13:00,Spr,79
Ehv,Ehs,12:51,12:54,Spr,79
Btl,Ot,13:07,13:14,Spr,79
Ot,Tb,13:14,13:20,Spr,79
Bet,Btl,13:30,13:37,Spr,80
Ehs,Bet,13:24,13:30,Spr,80
Ehv,Ehs,13:21,13:24,Spr,80
Btl,Ot,13:37,13:44,Spr,80
Ot,Tb,13:44,13:50,Spr,80
Bet,Btl,14:00,14:07,Spr,81
Ehs,Bet,13:54,14:00,Spr,81
Ehv,Ehs,13:51,13:54,Spr,81
Btl,Ot,14:07,14:14,Spr,81
Ot,Tb,14:14,14:20,Spr,81
Bet,Btl,14:30,14:37,Spr,82
Ehs,Bet,14:24,14:30,Spr,82
Ehv,Ehs,14:21,14:24,Spr,82
Btl,Ot,14:37,14:44,Spr,82
Ot,Tb,14:44,14:50,Spr,82
Ehs,Bet,14:54,15:00,Spr,83
Ehv,Ehs,14:51,14:54,Spr,83
Vg,Btl,12:02,12:08,Spr,84
Btl,Bet,12:08,12:15,Spr,84
Bet,Ehs,12:15,12:21,Spr,84
Ehs,Ehv,12:21,12:24,Spr,84
Bet,Btl,12:00,12:07,Spr,85
Btl,Ot,12:07,12:14,Spr,85
Ot,Tb,12:14,12:20,Spr,85
Ehs,Ehv,12:04,12:08,Spr,86
