Station,To,Departure,Arrival,Type,ID
Hlm,Asd,2025-10-04 02:01:00,2025-10-04 02:14:00,Int,16908129
Rtd,Dt,2025-10-04 02:02:00,2025-10-04 02:14:00,Int,16908131
Dt,Gv,2025-10-04 02:14:00,2025-10-04 02:21:00,Int,16908131
Gv,Ledn,2025-10-04 02:22:00,2025-10-04 02:36:00,Int,16908131
Ledn,Shl,2025-10-04 02:40:00,2025-10-04 02:56:00,Int,16908131
Shl,Asd,2025-10-04 03:03:00,2025-10-04 03:17:00,Int,16908131
Asd,Ut,2025-10-04 03:19:00,2025-10-04 03:48:00,Int,16908131
Tb,Ht,2025-10-04 02:12:00,2025-10-04 02:51:00,Int,16908132
Nm,Est,2025-10-04 02:12:00,2025-10-04 02:19:00,Int,16908133
Est,Ah,2025-10-04 02:19:00,2025-10-04 02:28:00,Int,16908133
Ah,Ed,2025-10-04 02:35:00,2025-10-04 02:46:00,Int,16908133
Ed,Ut,2025-10-04 02:46:00,2025-10-04 03:08:00,Int,16908133
Ut,Asd,2025-10-04 03:16:00,2025-10-04 03:44:00,Int,16908133
Asd,Shl,2025-10-04 03:46:00,2025-10-04 04:01:00,Int,16908133
Shl,Ledn,2025-10-04 04:05:00,2025-10-04 04:21:00,Int,16908133
Ledn,Gv,2025-10-04 04:23:00,2025-10-04 04:37:00,Int,16908133
Gv,Dt,2025-10-04 04:38:00,2025-10-04 04:45:00,Int,16908133
Dt,Rtd,2025-10-04 04:45:00,2025-10-04 04:57:00,Int,16908133
Ut,Asd,2025-10-04 02:16:00,2025-10-04 02:44:00,Int,16908134
Asd,Shl,2025-10-04 02:46:00,2025-10-04 03:01:00,Int,16908134
Shl,Ledn,2025-10-04 03:05:00,2025-10-04 03:21:00,Int,16908134
Ledn,Dvnk,2025-10-04 03:23:00,2025-10-04 03:26:00,Int,16908134
Dvnk,Vst,2025-10-04 03:26:00,2025-10-04 03:30:00,Int,16908134
Vst,Gvm,2025-10-04 03:30:00,2025-10-04 03:35:00,Int,16908134
Gvm,Laa,2025-10-04 03:35:00,2025-10-04 03:39:00,Int,16908134
Laa,Gv,2025-10-04 03:39:00,2025-10-04 03:41:00,Int,16908134
Gv,Gvmw,2025-10-04 03:43:00,2025-10-04 03:46:00,Int,16908134
Gvmw,Rsw,2025-10-04 03:46:00,2025-10-04 03:49:00,Int,16908134
Rsw,Dt,2025-10-04 03:49:00,2025-10-04 03:54:00,Int,16908134
Dt,Dtz,2025-10-04 03:54:00,2025-10-04 03:57:00,Int,16908134
Dtz,Sdm,2025-10-04 03:57:00,2025-10-04 04:04:00,Int,16908134
Sdm,Rtd,2025-10-04 04:04:00,2025-10-04 04:08:00,Int,16908134
Ut,Amf,2025-10-04 02:19:00,2025-10-04 02:33:00,Int,16908135
Asd,Amr,2025-10-04 02:37:00,2025-10-04 03:04:00,Int,16908136
Asd,Hlm,2025-10-04 02:46:00,2025-10-04 02:59:00,Int,16908138
Amf,Ut,2025-10-04 02:56:00,2025-10-04 03:10:00,Int,16908139
Rtd,Dt,2025-10-04 03:03:00,2025-10-04 03:14:00,Int,16908140
Dt,Gv,2025-10-04 03:14:00,2025-10-04 03:21:00,Int,16908140
Gv,Ledn,2025-10-04 03:22:00,2025-10-04 03:36:00,Int,16908140
Ledn,Shl,2025-10-04 03:40:00,2025-10-04 03:56:00,Int,16908140
Shl,Asd,2025-10-04 04:03:00,2025-10-04 04:17:00,Int,16908140
Asd,Ut,2025-10-04 04:19:00,2025-10-04 04:48:00,Int,16908140
Hlm,Asd,2025-10-04 03:04:00,2025-10-04 03:17:00,Int,16908141
Amr,Asd,2025-10-04 03:11:00,2025-10-04 03:38:00,Int,16908142
Ut,Asd,2025-10-04 03:16:00,2025-10-04 03:44:00,Int,16908144
Asd,Shl,2025-10-04 03:46:00,2025-10-04 04:01:00,Int,16908144
Shl,Ledn,2025-10-04 04:05:00,2025-10-04 04:21:00,Int,16908144
Ledn,Gv,2025-10-04 04:23:00,2025-10-04 04:37:00,Int,16908144
Gv,Dt,2025-10-04 04:38:00,2025-10-04 04:45:00,Int,16908144
Dt,Rtd,2025-10-04 04:45:00,2025-10-04 04:57:00,Int,16908144
Ut,Amf,2025-10-04 03:19:00,2025-10-04 03:33:00,Int,16908145
Asd,Hlm,2025-10-04 03:49:00,2025-10-04 04:02:00,Int,16908146
Rtd,Dt,2025-10-04 04:02:00,2025-10-04 04:14:00,Int,16908147
Dt,Gv,2025-10-04 04:14:00,2025-10-04 04:21:00,Int,16908147
Gv,Ledn,2025-10-04 04:22:00,2025-10-04 04:36:00,Int,16908147
Ledn,Shl,2025-10-04 04:40:00,2025-10-04 04:56:00,Int,16908147
Shl,Asd,2025-10-04 05:02:00,2025-10-04 05:16:00,Int,16908147
Asd,Ut,2025-10-04 05:19:00,2025-10-04 05:48:00,Int,16908147
Ut,Asd,2025-10-04 04:16:00,2025-10-04 04:44:00,Int,16908148
Asd,Shl,2025-10-04 04:46:00,2025-10-04 05:01:00,Int,16908148
Shl,Ledn,2025-10-04 05:05:00,2025-10-04 05:21:00,Int,16908148
Ledn,Gv,2025-10-04 05:23:00,2025-10-04 05:37:00,Int,16908148
Gv,Dt,2025-10-04 05:38:00,2025-10-04 05:45:00,Int,16908148
Dt,Rtd,2025-10-04 05:45:00,2025-10-04 05:57:00,Int,16908148
Ddr,Zwd,2025-10-04 04:42:00,2025-10-04 04:45:00,Spr,16908151
Zwd,Brd,2025-10-04 04:45:00,2025-10-04 04:51:00,Spr,16908151
Brd,Rlb,2025-10-04 04:51:00,2025-10-04 04:54:00,Spr,16908151
Rlb,Rtz,2025-10-04 04:54:00,2025-10-04 04:58:00,Spr,16908151
Rtz,Rtb,2025-10-04 04:58:00,2025-10-04 05:01:00,Spr,16908151
Rtb,Rtd,2025-10-04 05:01:00,2025-10-04 05:04:00,Spr,16908151
Lls,Almo,2025-10-04 04:45:00,2025-10-04 04:55:00,Spr,16908152
Almo,Almb,2025-10-04 04:55:00,2025-10-04 04:58:00,Spr,16908152
Almb,Almp,2025-10-04 04:58:00,2025-10-04 05:01:00,Spr,16908152
Almp,Alm,2025-10-04 05:01:00,2025-10-04 05:04:00,Spr,16908152
Alm,Almm,2025-10-04 05:05:00,2025-10-04 05:08:00,Spr,16908152
Almm,Ampo,2025-10-04 05:08:00,2025-10-04 05:12:00,Spr,16908152
Ampo,Wp,2025-10-04 05:12:00,2025-10-04 05:18:00,Spr,16908152
Wp,Dmnz,2025-10-04 05:21:00,2025-10-04 05:27:00,Spr,16908152
Dmnz,Dvd,2025-10-04 05:27:00,2025-10-04 05:30:00,Spr,16908152
Dvd,Rai,2025-10-04 05:30:00,2025-10-04 05:34:00,Spr,16908152
Rai,Asdz,2025-10-04 05:34:00,2025-10-04 05:37:00,Spr,16908152
Asdz,Shl,2025-10-04 05:38:00,2025-10-04 05:44:00,Spr,16908152
Shl,Hfd,2025-10-04 05:45:00,2025-10-04 05:50:00,Spr,16908152
Hfd,Nvp,2025-10-04 05:50:00,2025-10-04 05:55:00,Spr,16908152
Nvp,Ssh,2025-10-04 05:55:00,2025-10-04 06:02:00,Spr,16908152
Ssh,Ledn,2025-10-04 06:02:00,2025-10-04 06:07:00,Spr,16908152
Ledn,Dvnk,2025-10-04 06:08:00,2025-10-04 06:12:00,Spr,16908152
Dvnk,Vst,2025-10-04 06:12:00,2025-10-04 06:15:00,Spr,16908152
Vst,Gvm,2025-10-04 06:15:00,2025-10-04 06:20:00,Spr,16908152
Gvm,Laa,2025-10-04 06:20:00,2025-10-04 06:23:00,Spr,16908152
Laa,Gvc,2025-10-04 06:23:00,2025-10-04 06:26:00,Spr,16908152
Amf,Brn,2025-10-04 04:49:00,2025-10-04 04:56:00,Spr,16908154
Brn,Hvs,2025-10-04 04:56:00,2025-10-04 05:02:00,Spr,16908154
Hvs,Hvsm,2025-10-04 05:03:00,2025-10-04 05:05:00,Spr,16908154
Hvsm,Bsmz,2025-10-04 05:05:00,2025-10-04 05:09:00,Spr,16908154
Bsmz,Ndb,2025-10-04 05:09:00,2025-10-04 05:12:00,Spr,16908154
Ndb,Wp,2025-10-04 05:12:00,2025-10-04 05:18:00,Spr,16908154
Wp,Dmn,2025-10-04 05:21:00,2025-10-04 05:26:00,Spr,16908154
Dmn,Assp,2025-10-04 05:26:00,2025-10-04 05:29:00,Spr,16908154
Assp,Asdm,2025-10-04 05:29:00,2025-10-04 05:31:00,Spr,16908154
Asdm,Asd,2025-10-04 05:31:00,2025-10-04 05:37:00,Spr,16908154
Gvc,Gv,2025-10-04 04:56:00,2025-10-04 04:59:00,Spr,16908155
Gv,Gvmw,2025-10-04 05:00:00,2025-10-04 05:03:00,Spr,16908155
Gvmw,Rsw,2025-10-04 05:03:00,2025-10-04 05:06:00,Spr,16908155
Rsw,Dt,2025-10-04 05:06:00,2025-10-04 05:10:00,Spr,16908155
Dt,Dtz,2025-10-04 05:10:00,2025-10-04 05:13:00,Spr,16908155
Dtz,Sdm,2025-10-04 05:13:00,2025-10-04 05:20:00,Spr,16908155
Sdm,Rtd,2025-10-04 05:20:00,2025-10-04 05:24:00,Spr,16908155
Rtd,Rtb,2025-10-04 05:27:00,2025-10-04 05:30:00,Spr,16908155
Rtb,Rtz,2025-10-04 05:30:00,2025-10-04 05:33:00,Spr,16908155
Rtz,Rlb,2025-10-04 05:33:00,2025-10-04 05:36:00,Spr,16908155
Rlb,Brd,2025-10-04 05:36:00,2025-10-04 05:40:00,Spr,16908155
Brd,Zwd,2025-10-04 05:40:00,2025-10-04 05:45:00,Spr,16908155
Zwd,Ddr,2025-10-04 05:45:00,2025-10-04 05:49:00,Spr,16908155
Rtd,Dt,2025-10-04 05:02:00,2025-10-04 05:14:00,Int,16908156
Dt,Gv,2025-10-04 05:14:00,2025-10-04 05:21:00,Int,16908156
Gv,Ledn,2025-10-04 05:22:00,2025-10-04 05:36:00,Int,16908156
Ledn,Shl,2025-10-04 05:43:00,2025-10-04 05:59:00,Int,16908156
Shl,Asd,2025-10-04 06:03:00,2025-10-04 06:17:00,Int,16908156
Asd,Ut,2025-10-04 06:27:00,2025-10-04 06:51:00,Int,16908156
Amr,Hlo,2025-10-04 05:02:00,2025-10-04 05:07:00,Spr,16908157
Hlo,Cas,2025-10-04 05:07:00,2025-10-04 05:12:00,Spr,16908157
Cas,Utg,2025-10-04 05:12:00,2025-10-04 05:16:00,Spr,16908157
Utg,Kma,2025-10-04 05:16:00,2025-10-04 05:20:00,Spr,16908157
Kma,Wm,2025-10-04 05:20:00,2025-10-04 05:24:00,Spr,16908157
Wm,Zzs,2025-10-04 05:24:00,2025-10-04 05:27:00,Spr,16908157
Zzs,Kz,2025-10-04 05:27:00,2025-10-04 05:30:00,Spr,16908157
Kz,Zd,2025-10-04 05:30:00,2025-10-04 05:33:00,Spr,16908157
Zd,Ass,2025-10-04 05:36:00,2025-10-04 05:42:00,Spr,16908157
Ass,Asd,2025-10-04 05:42:00,2025-10-04 05:47:00,Spr,16908157
Asd,Asdm,2025-10-04 05:49:00,2025-10-04 05:54:00,Spr,16908157
