Station;Code
Aalten;Atn
Abcoude;Ac
Akkrum;Akm
Alkmaar Noord;Amrn
Alkmaar;Amr
Almelo de Riet;Amri
Almelo;Aml
Almere Buiten;Almb
Almere Centrum;Alm
Almere Muziekwijk;Almm
Almere Oostvaarders;Almo
Almere Parkwijk;Almp
Almere Poort;Ampo
Alphen aan den Rijn;Apn
Amersfoort Centraal;Amf
Amersfoort Schothorst;Amfs
Amersfoort Vathorst;Avat
Amsterdam Amstel;Asa
Amsterdam Arena;Asdar
Amsterdam Bijlmer ArenA;Asb
Amsterdam Centraal;Asd
Amsterdam Holendrecht;Ashd
Amsterdam Lelylaan;Asdl
Amsterdam Muiderpoort;Asdm
Amsterdam RAI;Rai
Amsterdam Science Park;Assp
Amsterdam Sloterdijk;Ass
Amsterdam Zuid;Asdz
Anna Paulowna;Ana
Apeldoorn De Maten;Apdm
Apeldoorn Osseveld;Apdo
Apeldoorn;Apd
Appingedam;Apg
Arkel;Akl
Arnemuiden;Arn
Arnhem Presikhaaf;Ahpr
Arnhem Centraal;Ah
Arnhem Velperpoort;Ahp
Arnhem Zuid;Ahz
Assen;Asn
Baarn;Brn
Bad Nieuweschans;Nsch
Baflo;Bf
Barendrecht;Brd
Barneveld Centrum;Bnc
Barneveld Noord;Bnn
Barneveld Zuid;Bnz
Bedum;Bdm
Beek-Elsloo;Bk
Beesd;Bsd
Beilen;Bl
Bergen op Zoom;Bgn
Best;Bet
Beverwijk;Bv
Bilthoven;Bhv
Blerick;Br
Bloemendaal;Bll
Bodegraven;Bdg
Borne;Bn
Boskoop;Bsk
Boskoop Snijdelwijk;Bsks
Bovenkarspel Flora;Bkf
Bovenkarspel-Grootebroek;Bkg
Boven Hardinxveld;Bhdv
Boxmeer;Bmr
Boxtel;Btl
Breda Prinsenbeek;Bdpb
Breda;Bd
Breukelen;Bkl
Brummen;Bmn
Buitenpost;Bp
Bunde;Bde
Bunnik;Bnk
Bussum Zuid;Bsmz
Capelle Schollevaar;Cps
Castricum;Cas
Chevremont;Cvm
Coevorden;Co
Cuijk;Ck
Culemborg;Cl
Daarlerveen;Da
Dalen;Dln
Dalfsen;Dl
De Vink;Dvnk
De Westereen;Dwe
Deinum;Dei
Delden;Ddn
Delft;Dt
Delft Campus;Dtz
Delfzijl;Dz
Delfzijl West;Dzw
Den Dolder;Dld
Den Haag Centraal;Gvc
Den Haag Hollands Spoor;Gv
Den Haag Laan van NOI;Laa
Den Haag Mariahoeve;Gvm
Den Haag Moerwijk;Gvmw
Den Haag Ypenburg;Ypb
Den Helder;Hdr
Den Helder Zuid;Hdrz
Deurne;Dn
Deventer Colmschate;Dvc
Deventer;Dv
Didam;Did
Diemen;Dmn
Diemen Zuid;Dmnz
Dieren;Dr
Doetinchem De Huet;Dtch
Doetinchem;Dtc
Dordrecht;Ddr
Dordrecht Stadspolders;Ddrs
Dordrecht Zuid;Ddzd
Driebergen-Zeist;Db
Driehuis;Dh
Dronryp;Drp
Dronten;Dron
Duiven;Dvn
Duivendrecht;Dvd
Echt;Ec
Ede Centrum;Edc
Ede-Wageningen;Ed
Eemshaven;Eem
Eijsden;Edn
Eindhoven Centraal;Ehv
Eindhoven Stadion;Ehs
Eindhoven Strijp-S;Ehb
Elst;Est
Emmen;Emn
Emmen Zuid;Emnz
Enkhuizen;Ekz
Enschede De Eschmarke;Ese
Enschede Kennispark;Esk
Enschede;Es
Ermelo;Eml
Etten-Leur;Etn
Eygelshoven Markt;Eghm
Eygelshoven;Egh
Feanw�lden;Fwd
Franeker;Fn
Gaanderen;Gdr
Geldermalsen;Gdm
Geldrop;Gp
Geleen Oost;Gln
Geleen-Lutterade;Lut
Gilze-Rijen;Gz
Glanerbrug;Gbr
Goes;Gs
Goor;Go
Gorinchem;Gr
Gouda Goverwelle;Gdg
Gouda;Gd
Gramsbergen;Gbg
Grijpskerk;Gk
Groningen Europapark;Gerp
Groningen Noord;Gnn
Groningen;Gn
Grou-Jirnsum;Gw
Haarlem;Hlm
Haarlem Spaarnwoude;Hlms
Halfweg-Zwanenburg;Hwzb
Hardenberg;Hdb
Harderwijk;Hd
Hardinxveld Blauwe Zoom;Bzm
Hardinxveld-Giessendam;Gnd
Haren (NL);Hrn
Harlingen Haven;Hlgh
Harlingen;Hlg
