code;name_long;country;type
HT;'s-Hertogenbosch;NL;knooppuntIntercitystation
HTO;'s-Hertogenbosch Oost;NL;stoptreinstation
HDE;'t Harde;NL;stoptreinstation
AHBF;Aachen Hbf;D;knooppuntIntercitystation
AW;Aachen West;D;stoptreinstation
ATN;Aalten;NL;stoptreinstation
AC;Abcoude;NL;stoptreinstation
EAHS;Ahaus;D;stoptreinstation
AIME;Aime-la-Plagne;F;intercitystation
ACDG;Airport Charles de Gaulle;F;knooppuntIntercitystation
AIXTGV;Aix-en-Provence TGV;F;intercitystation
AKM;Akkrum;NL;stoptreinstation
ALBERT;Albertville;F;intercitystation
AMR;Alkmaar;NL;knooppuntIntercitystation
AMRN;Alkmaar Noord;NL;stoptreinstation
AML;Almelo;NL;knooppuntIntercitystation
AMRI;Almelo de Riet;NL;stoptreinstation
ALMB;Almere Buiten;NL;stoptreinstation
ALM;Almere Centrum;NL;knooppuntIntercitystation
ALMM;Almere Muziekwijk;NL;stoptreinstation
ALMO;Almere Oostvaarders;NL;stoptreinstation
ALMP;Almere Parkwijk;NL;stoptreinstation
AMPO;Almere Poort;NL;stoptreinstation
APN;Alphen a/d Rijn;NL;knooppuntIntercitystation
EABG;Altenberge;D;stoptreinstation
AMF;Amersfoort Centraal;NL;knooppuntIntercitystation
AMFS;Amersfoort Schothorst;NL;stoptreinstation
AVAT;Amersfoort Vathorst;NL;stoptreinstation
ASA;Amsterdam Amstel;NL;intercitystation
ASB;Amsterdam Bijlmer ArenA;NL;knooppuntStoptreinstation
ASD;Amsterdam Centraal;NL;megastation
ASHD;Amsterdam Holendrecht;NL;stoptreinstation
ASDL;Amsterdam Lelylaan;NL;stoptreinstation
ASDM;Amsterdam Muiderpoort;NL;stoptreinstation
RAI;Amsterdam RAI;NL;stoptreinstation
ASSP;Amsterdam Science Park;NL;stoptreinstation
ASS;Amsterdam Sloterdijk;NL;knooppuntIntercitystation
ASDZ;Amsterdam Zuid;NL;intercitystation
AMST;Amstetten NÖ;A;intercitystation
ANA;Anna Paulowna;NL;stoptreinstation
BERCH;Antwerpen-Berchem;B;knooppuntIntercitystation
ATW;Antwerpen-Centraal;B;megastation
ATWLB;Antwerpen-Luchtbal;B;stoptreinstation
ANDD;Antwerpen-Noorderdokken;B;stoptreinstation
FNZD;Antwerpen-Zuid;B;stoptreinstation
APD;Apeldoorn;NL;knooppuntIntercitystation
APDM;Apeldoorn De Maten;NL;stoptreinstation
APDO;Apeldoorn Osseveld;NL;stoptreinstation
APG;Appingedam;NL;stoptreinstation
AKL;Arkel;NL;stoptreinstation
ARN;Arnemuiden;NL;stoptreinstation
AH;Arnhem Centraal;NL;knooppuntIntercitystation
AHPR;Arnhem Presikhaaf;NL;stoptreinstation
AHP;Arnhem Velperpoort;NL;stoptreinstation
AHZ;Arnhem Zuid;NL;stoptreinstation
ASN;Assen;NL;knooppuntIntercitystation
MA;Augsburg Hbf;D;sneltreinstation
AVTGV;Avignon TGV;F;megastation
BRN;Baarn;NL;knooppuntStoptreinstation
BH;Bad Bentheim;D;knooppuntIntercitystation
NSCH;Bad Nieuweschans;NL;knooppuntStoptreinstation
OEYNH;Bad Oeynhausen;D;intercitystation
BADENZ;Baden (CH);CH;stoptreinstation
BF;Baflo;NL;stoptreinstation
BRD;Barendrecht;NL;stoptreinstation
BNC;Barneveld Centrum;NL;stoptreinstation
BNN;Barneveld Noord;NL;stoptreinstation
BNZ;Barneveld Zuid;NL;stoptreinstation
BASELB;Basel Bad Bf;D;stoptreinstation
BASELS;Basel SBB;CH;megastation
BDM;Bedum;NL;stoptreinstation
BK;Beek-Elsloo;NL;stoptreinstation
BSD;Beesd;NL;stoptreinstation
BL;Beilen;NL;stoptreinstation
LLB;Belsele;B;stoptreinstation
BGN;Bergen op Zoom;NL;stoptreinstation
