Station;To;Departure;Arrival;Type;ID;Duration;Distance;Speed;Current_Time;Waiting_Time;Score;Section_Driven
Ht;Tb;2025-08-02 12:03:00;2025-08-02 12:17:00;Spr;25;14;22.3;95.6;2025-08-02 12:00:00;3;1.3;0
Tb;Ehv;2025-08-02 12:24:00;2025-08-02 12:47:00;Int;55;23;36.9;96.3;2025-08-02 12:17:00;7;1.2;0
Ehv;Ehs;2025-08-02 12:51:00;2025-08-02 12:54:00;Spr;79;3;2.6;52.0;2025-08-02 12:47:00;4;0.4;0
Ehs;Bet;2025-08-02 12:54:00;2025-08-02 13:00:00;Spr;79;6;7.4;74.0;2025-08-02 12:54:00;0;1.2;0
Bet;Btl;2025-08-02 13:00:00;2025-08-02 13:07:00;Spr;79;7;9.9;84.9;2025-08-02 13:00:00;0;1.4;0
Btl;Ot;2025-08-02 13:07:00;2025-08-02 13:14:00;Spr;79;7;8.9;76.3;2025-08-02 13:07:00;0;1.3;0
Ot;Tb;2025-08-02 13:14:00;2025-08-02 13:20:00;Spr;79;6;8.1;81.0;2025-08-02 13:14:00;0;1.3;0
Tb;Ht;2025-08-02 13:33:00;2025-08-02 13:48:00;Int;43;15;22.3;89.2;2025-08-02 13:20:00;13;0.8;0
Ht;Vg;2025-08-02 13:58:00;2025-08-02 14:02:00;Spr;64;4;4.2;63.0;2025-08-02 13:48:00;10;0.3;0
Vg;Btl;2025-08-02 14:02:00;2025-08-02 14:08:00;Spr;64;6;8.0;80.0;2025-08-02 14:02:00;0;1.3;0
Btl;Bet;2025-08-02 14:08:00;2025-08-02 14:15:00;Spr;64;7;9.9;84.9;2025-08-02 14:08:00;0;1.4;1
Bet;Ehs;2025-08-02 14:15:00;2025-08-02 14:21:00;Spr;64;6;7.4;74.0;2025-08-02 14:15:00;0;1.2;1
Ehs;Ehv;2025-08-02 14:21:00;2025-08-02 14:24:00;Spr;64;3;2.6;52.0;2025-08-02 14:21:00;0;0.9;1
Ehv;Ht;2025-08-02 14:32:00;2025-08-02 14:51:00;Int;23;19;32.1;101.4;2025-08-02 14:24:00;8;1.2;0
