Station;To;Departure;Arrival;Type;ID;Departure_Int;Arrival_Int;Duration;Distance;Speed;Current_Time;Waiting_Time;Distance_Counted;Score
Ht;Tb;2025-08-02 12:03:00;2025-08-02 12:17:00;Spr;25;29235603;29235617;14;22.3;95.6;29235600;3;22.3;1.3
Tb;Ehv;2025-08-02 12:24:00;2025-08-02 12:47:00;Int;55;29235624;29235647;23;36.9;96.3;29235617;7;36.9;1.2
Ehv;Ehs;2025-08-02 12:51:00;2025-08-02 12:54:00;Spr;79;29235651;29235654;3;2.6;52.0;29235647;4;2.6;0.4
Ehs;Bet;2025-08-02 12:54:00;2025-08-02 13:00:00;Spr;79;29235654;29235660;6;7.4;74.0;29235654;0;7.4;1.2
Bet;Btl;2025-08-02 13:00:00;2025-08-02 13:07:00;Spr;79;29235660;29235667;7;9.9;84.9;29235660;0;9.9;1.4
Btl;Ot;2025-08-02 13:07:00;2025-08-02 13:14:00;Spr;79;29235667;29235674;7;8.9;76.3;29235667;0;8.9;1.3
Ot;Tb;2025-08-02 13:14:00;2025-08-02 13:20:00;Spr;79;29235674;29235680;6;8.1;81.0;29235674;0;8.1;1.3
Tb;Ht;2025-08-02 13:33:00;2025-08-02 13:48:00;Spr;43;29235693;29235708;15;22.3;89.2;29235680;13;22.3;0.8
Ht;Vg;2025-08-02 13:58:00;2025-08-02 14:02:00;Spr;64;29235718;29235722;4;4.2;63.0;29235708;10;4.2;0.3
Vg;Btl;2025-08-02 14:02:00;2025-08-02 14:08:00;Spr;64;29235722;29235728;6;8.0;80.0;29235722;0;8.0;1.3
Btl;Vg;2025-08-02 14:22:00;2025-08-02 14:28:00;Spr;76;29235742;29235748;6;8.0;80.0;29235728;14;8.0;0.4
Vg;Ht;2025-08-02 14:28:00;2025-08-02 14:32:00;Spr;76;29235748;29235752;4;4.2;63.0;29235748;0;4.2;1.1
