Station,To,Departure,Arrival,Type,ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Score
Ehv,Tb,2025-10-04 08:04:00,2025-10-04 08:25:00,Int,16908477,29326084,29326105,21,36.9,105.4,29326080,4,36.9,1.5
Tb,Bd,2025-10-04 08:28:00,2025-10-04 08:40:00,Int,16908477,29326108,29326120,12,21.6,108.0,29326105,3,21.6,1.4
Bd,Rtd,2025-10-04 08:53:00,2025-10-04 09:15:00,Int,16908906,29326133,29326155,22,45.8,124.9,29326120,13,45.8,1.3
Rtd,Dt,2025-10-04 09:18:00,2025-10-04 09:29:00,Int,16908906,29326158,29326169,11,14.9,81.3,29326155,3,14.9,1.1
Dt,Gv,2025-10-04 09:29:00,2025-10-04 09:36:00,Int,16908906,29326169,29326176,7,7.4,63.4,29326169,0,7.4,1.1
Gv,Gvc,2025-10-04 09:38:00,2025-10-04 09:41:00,Int,16908906,29326178,29326181,3,1.8,36.0,29326176,2,1.8,0.4
Gvc,Ledn,2025-10-04 09:46:00,2025-10-04 09:57:00,Int,16909477,29326186,29326197,11,15.4,84.0,29326181,5,15.4,1.0
Ledn,Had,2025-10-04 10:03:00,2025-10-04 10:18:00,Int,16909477,29326203,29326218,15,24.6,98.4,29326197,6,24.6,1.2
Had,Hlm,2025-10-04 10:18:00,2025-10-04 10:23:00,Int,16909477,29326218,29326223,5,4.5,54.0,29326218,0,4.5,0.9
Hlm,Ass,2025-10-04 10:25:00,2025-10-04 10:34:00,Int,16909477,29326225,29326234,9,14.6,97.3,29326223,2,14.6,1.3
Ass,Asd,2025-10-04 10:34:00,2025-10-04 10:40:00,Int,16909477,29326234,29326240,6,5.0,50.0,29326234,0,5.0,0.8
Asd,Asa,2025-10-04 10:54:00,2025-10-04 11:01:00,Int,16909416,29326254,29326261,7,6.2,53.1,29326240,14,6.2,0.3
Asa,Ut,2025-10-04 11:02:00,2025-10-04 11:21:00,Int,16909416,29326262,29326281,19,33.8,106.7,29326261,1,33.8,1.7
Ut,Gd,2025-10-04 11:28:00,2025-10-04 11:46:00,Int,16909474,29326288,29326306,18,32.7,109.0,29326281,7,32.7,1.3
Gd,Gvc,2025-10-04 11:47:00,2025-10-04 12:06:00,Int,16909474,29326307,29326326,19,28.2,89.1,29326306,1,28.2,1.4
Gvc,Vb,2025-10-04 12:13:00,2025-10-04 12:17:00,Spr,16910397,29326333,29326337,4,3.1,46.5,29326326,7,3.1,0.3
Vb,Ypb,2025-10-04 12:17:00,2025-10-04 12:20:00,Spr,16910397,29326337,29326340,3,2.4,48.0,29326337,0,2.4,0.8
Ypb,Ztm,2025-10-04 12:20:00,2025-10-04 12:25:00,Spr,16910397,29326340,29326345,5,6.1,73.2,29326340,0,6.1,1.2
Ztm,Ztmo,2025-10-04 12:25:00,2025-10-04 12:27:00,Spr,16910397,29326345,29326347,2,1.2,36.0,29326345,0,1.2,0.6
