Stop_ID,Station,To,Departure,Arrival,Type,Section_ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Speed_With_Stop,Score,Got_Stamp
152968487,Ehv,Tb,2025-10-04 08:04:00,2025-10-04 08:25:00,Int,16908477,29326084,29326105,21,36.9,105.4,29326080,4,36.9,88.6,88.6,0
152968488,Tb,Bd,2025-10-04 08:28:00,2025-10-04 08:40:00,Int,16908477,29326108,29326120,12,21.6,108.0,29326105,3,21.6,86.4,90.1,0
152972347,Bd,Rtd,2025-10-04 08:53:00,2025-10-04 09:15:00,Int,16908906,29326133,29326155,22,45.8,124.9,29326120,13,45.8,78.5,84.4,0
152975842,Rtd,Rta,2025-10-04 09:20:00,2025-10-04 09:28:00,Int,16909318,29326160,29326168,8,10.2,76.5,29326155,5,10.2,47.1,57.5,0
152975843,Rta,Gd,2025-10-04 09:28:00,2025-10-04 09:38:00,Int,16909318,29326168,29326178,10,13.6,81.6,29326168,0,13.6,81.6,93.1,0
152976198,Gd,Ut,2025-10-04 09:44:00,2025-10-04 10:02:00,Int,16909359,29326184,29326202,18,32.7,109.0,29326178,6,32.7,81.8,94.6,0
152976199,Ut,Amf,2025-10-04 10:07:00,2025-10-04 10:20:00,Int,16909359,29326207,29326220,13,21.4,98.8,29326202,5,21.4,71.3,87.4,0
152977017,Amf,Zl,2025-10-04 10:35:00,2025-10-04 11:10:00,Int,16909449,29326235,29326270,35,66.5,114.0,29326220,15,66.5,79.8,98.0,0
152982552,Zl,Mp,2025-10-04 11:22:00,2025-10-04 11:38:00,Spr,16910092,29326282,29326298,16,27.7,103.9,29326275,7,27.7,72.3,97.1,1
152980973,Mp,Swk,2025-10-04 11:42:00,2025-10-04 11:51:00,Spr,16909912,29326302,29326311,9,13.9,92.7,29326298,4,13.9,64.2,91.8,1
152980974,Swk,Wv,2025-10-04 11:51:00,2025-10-04 11:59:00,Spr,16909912,29326311,29326319,8,12.6,94.5,29326311,0,12.6,94.5,123.5,1
152980975,Wv,Hr,2025-10-04 11:59:00,2025-10-04 12:06:00,Spr,16909912,29326319,29326326,7,10.1,86.6,29326319,0,10.1,86.6,116.9,1
152980976,Hr,Akm,2025-10-04 12:06:00,2025-10-04 12:13:00,Spr,16909912,29326326,29326333,7,11.5,98.6,29326326,0,11.5,98.6,129.9,1
152980977,Akm,Gw,2025-10-04 12:13:00,2025-10-04 12:18:00,Spr,16909912,29326333,29326338,5,4.8,57.6,29326333,0,4.8,57.6,90.1,1
152980978,Gw,Lw,2025-10-04 12:18:00,2025-10-04 12:27:00,Spr,16909912,29326338,29326347,9,13.6,90.7,29326338,0,13.6,90.7,123.6,1
152986284,Lw,Gw,2025-10-04 12:33:00,2025-10-04 12:42:00,Spr,16910525,29326353,29326362,9,13.6,90.7,29326347,6,13.6,54.4,88.7,1
152986285,Gw,Akm,2025-10-04 12:42:00,2025-10-04 12:46:00,Spr,16910525,29326362,29326366,4,4.8,72.0,29326362,0,4.8,72.0,107.7,1
152986286,Akm,Hr,2025-10-04 12:46:00,2025-10-04 12:54:00,Spr,16910525,29326366,29326374,8,11.5,86.2,29326366,0,11.5,86.2,122.4,1
152986287,Hr,Wv,2025-10-04 12:54:00,2025-10-04 13:01:00,Spr,16910525,29326374,29326381,7,10.1,86.6,29326374,0,10.1,86.6,123.9,1
152986288,Wv,Swk,2025-10-04 13:01:00,2025-10-04 13:09:00,Spr,16910525,29326381,29326389,8,12.6,94.5,29326381,0,12.6,94.5,132.8,1
152986289,Swk,Mp,2025-10-04 13:09:00,2025-10-04 13:18:00,Spr,16910525,29326389,29326398,9,13.9,92.7,29326389,0,13.9,92.7,132.2,1
152986290,Mp,Zl,2025-10-04 13:18:00,2025-10-04 13:33:00,Spr,16910525,29326398,29326413,15,27.7,110.8,29326398,0,27.7,110.8,151.7,1
152986291,Zl,Kpnz,2025-10-04 13:37:00,2025-10-04 13:46:00,Spr,16910525,29326417,29326426,9,15.0,100.0,29326413,4,15.0,69.2,112.9,1
