Stop_ID,Station,To,Departure,Arrival,Type,Section_ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Speed_With_Stop,Score,Got_Stamp
170291848,Ehv,Ht,2026-07-12 08:03:00,2026-07-12 08:23:00,Int,18744370,29730723,29730743,20,32.1,96.3,29730718,5,32.1,77.0,77.0,0
170290266,Ht,O,2026-07-12 08:25:00,2026-07-12 08:36:00,Int,18744177,29730745,29730756,11,18.8,102.5,29730743,2,18.8,86.8,90.0,0
170290267,O,Nm,2026-07-12 08:36:00,2026-07-12 08:52:00,Int,18744177,29730756,29730772,16,24.7,92.6,29730756,0,24.7,92.6,97.7,0
170290268,Nm,Ah,2026-07-12 08:54:00,2026-07-12 09:07:00,Int,18744177,29730774,29730787,13,18.6,85.8,29730772,2,18.6,74.4,82.0,0
170473160,Ah,Dr,2026-07-12 09:10:00,2026-07-12 09:21:00,Int,18764760,29730790,29730801,11,16.1,87.8,29730787,3,16.1,69.0,78.4,0
170290270,Dr,Zp,2026-07-12 09:23:00,2026-07-12 09:32:00,Int,18744177,29730803,29730812,9,13.1,87.3,29730801,2,13.1,71.5,82.5,0
170290271,Zp,Dv,2026-07-12 09:33:00,2026-07-12 09:45:00,Int,18744177,29730813,29730825,12,16.4,82.0,29730812,1,16.4,75.7,88.0,0
170290272,Dv,Ost,2026-07-12 09:46:00,2026-07-12 09:53:00,Int,18744177,29730826,29730833,7,9.2,78.9,29730825,1,9.2,69.0,83.0,0
170290273,Ost,Wh,2026-07-12 09:53:00,2026-07-12 09:59:00,Int,18744177,29730833,29730839,6,6.5,65.0,29730833,0,6.5,65.0,79.9,0
170290274,Wh,Zl,2026-07-12 09:59:00,2026-07-12 10:10:00,Int,18744177,29730839,29730850,11,14.0,76.4,29730839,0,14.0,76.4,91.9,0
170298383,Zl,Amf,2026-07-12 10:19:00,2026-07-12 10:53:00,Int,18745159,29730859,29730893,34,66.5,117.4,29730850,9,66.5,92.8,109.7,0
170298291,Amf,Hvs,2026-07-12 10:58:00,2026-07-12 11:09:00,Int,18745149,29730898,29730909,11,16.0,87.3,29730893,5,16.0,60.0,83.6,0
170298385,Hvs,Ut,2026-07-12 11:11:00,2026-07-12 11:26:00,Int,18745159,29730911,29730926,15,17.5,70.0,29730909,2,17.5,61.8,87.0,0
170302136,Ut,Gd,2026-07-12 11:31:00,2026-07-12 11:53:00,Int,18745606,29730931,29730953,22,32.7,89.2,29730926,5,32.7,72.7,99.6,0
170302137,Gd,Rta,2026-07-12 11:54:00,2026-07-12 12:03:00,Int,18745606,29730954,29730963,9,13.6,90.7,29730953,1,13.6,81.6,111.8,0
170302138,Rta,Rtd,2026-07-12 12:03:00,2026-07-12 12:12:00,Int,18745606,29730963,29730972,9,10.2,68.0,29730963,0,10.2,68.0,99.6,0
170302321,Rtd,Bd,2026-07-12 12:23:00,2026-07-12 12:45:00,Int,18745629,29730983,29731005,22,45.8,124.9,29730977,6,45.8,98.1,130.7,1
170301570,Bd,Tb,2026-07-12 12:49:00,2026-07-12 13:02:00,Int,18745539,29731009,29731022,13,21.6,99.7,29731005,4,21.6,76.2,113.4,1
170301571,Tb,Ht,2026-07-12 13:04:00,2026-07-12 13:21:00,Int,18745539,29731024,29731041,17,22.3,78.7,29731022,2,22.3,70.4,109.8,1
170301572,Ht,O,2026-07-12 13:24:00,2026-07-12 13:35:00,Int,18745539,29731044,29731055,11,18.8,102.5,29731041,3,18.8,80.6,122.1,1
170301573,O,Nm,2026-07-12 13:35:00,2026-07-12 13:53:00,Int,18745539,29731055,29731073,18,24.7,82.3,29731055,0,24.7,82.3,125.8,1
170310160,Nm,Ah,2026-07-12 13:57:00,2026-07-12 14:09:00,Int,18746539,29731077,29731089,12,18.6,93.0,29731073,4,18.6,69.8,115.7,1
170310161,Ah,Ed,2026-07-12 14:16:00,2026-07-12 14:25:00,Int,18746539,29731096,29731105,9,16.7,111.3,29731089,7,16.7,62.6,110.4,1
170310162,Ed,Klp,2026-07-12 14:25:00,2026-07-12 14:32:00,Int,18746539,29731105,29731112,7,7.0,60.0,29731105,0,7.0,60.0,109.5,1
170310163,Klp,Ut,2026-07-12 14:32:00,2026-07-12 14:50:00,Int,18746539,29731112,29731130,18,33.8,112.7,29731112,0,33.8,112.7,162.8,1
170313989,Ut,Gd,2026-07-12 15:03:00,2026-07-12 15:23:00,Int,18747046,29731143,29731163,20,32.7,98.1,29731130,13,32.7,59.5,113.0,1
170313990,Gd,Rta,2026-07-12 15:24:00,2026-07-12 15:33:00,Int,18747046,29731164,29731173,9,13.6,90.7,29731163,1,13.6,81.6,138.4,1
170313991,Rta,Rtd,2026-07-12 15:33:00,2026-07-12 15:42:00,Int,18747046,29731173,29731182,9,10.2,68.0,29731173,0,10.2,68.0,126.2,1
170316871,Rtd,Shl,2026-07-12 15:52:00,2026-07-12 16:15:00,Int,18747386,29731192,29731215,23,52.4,136.7,29731182,10,52.4,95.3,154.5,1
170319552,Shl,Asdz,2026-07-12 16:22:00,2026-07-12 16:28:00,Int,18747690,29731222,29731228,6,9.2,92.0,29731215,7,9.2,42.5,106.9,1
170319553,Asdz,Dvd,2026-07-12 16:30:00,2026-07-12 16:31:00,Int,18747690,29731230,29731231,1,5.1,306.0,29731228,2,5.1,102.0,167.3,1
170319554,Dvd,Hvs,2026-07-12 16:31:00,2026-07-12 16:46:00,Int,18747690,29731231,29731246,15,23.3,93.2,29731231,0,23.3,93.2,159.1,1
170319361,Hvs,Amf,2026-07-12 16:48:00,2026-07-12 16:59:00,Int,18747665,29731248,29731259,11,16.0,87.3,29731246,2,16.0,73.8,142.0,1
170319362,Amf,Zl,2026-07-12 16:59:00,2026-07-12 17:33:00,Int,18747665,29731259,29731293,34,66.5,117.4,29731259,0,66.5,117.4,187.1,1
170322806,Zl,Kpnz,2026-07-12 17:36:00,2026-07-12 17:45:00,Spr,18748077,29731296,29731305,9,15.0,100.0,29731293,3,15.0,75.0,151.4,1
170322807,Kpnz,Dron,2026-07-12 17:45:00,2026-07-12 17:55:00,Spr,18748077,29731305,29731315,10,14.0,84.0,29731305,0,14.0,84.0,161.9,1
170322808,Dron,Lls,2026-07-12 17:55:00,2026-07-12 18:07:00,Spr,18748077,29731315,29731327,12,21.0,105.0,29731315,0,21.0,105.0,184.3,1
170323285,Lls,Alm,2026-07-12 18:12:00,2026-07-12 18:26:00,Int,18748135,29731332,29731346,14,24.9,106.7,29731327,5,24.9,78.6,160.1,1
